timestamp,sensor,valor
2026-03-25 10:35:48,BPM,233
2026-03-25 10:35:48,BPM,233
2026-03-25 10:35:48,BPM,232
2026-03-25 10:35:48,BPM,232
2026-03-25 10:35:48,BPM,232
2026-03-25 10:35:48,BPM,232
2026-03-25 10:35:48,BPM,231
2026-03-25 10:35:48,BPM,230
2026-03-25 10:35:50,BPM,214
2026-03-25 10:35:50,BPM,215
2026-03-25 10:35:51,BPM,217
2026-03-25 10:35:51,BPM,218
2026-03-25 10:35:51,BPM,220
2026-03-25 10:35:51,BPM,222
2026-03-25 10:35:52,BPM,223
2026-03-25 10:35:52,BPM,225
2026-03-25 10:35:52,BPM,227
2026-03-25 10:35:52,BPM,229
2026-03-25 10:35:53,BPM,230
2026-03-25 10:35:53,BPM,230
2026-03-25 10:35:53,BPM,230
2026-03-25 10:35:53,BPM,230
2026-03-25 10:35:54,BPM,230
2026-03-25 10:35:54,BPM,230
2026-03-25 10:35:54,BPM,230
2026-03-25 10:35:54,BPM,230
2026-03-25 10:35:55,BPM,230
2026-03-25 10:35:55,BPM,230
2026-03-25 10:35:55,BPM,230
2026-03-25 10:35:56,BPM,230
2026-03-25 10:35:56,BPM,230
2026-03-25 10:35:56,BPM,230
2026-03-25 10:35:56,BPM,230
2026-03-25 10:35:57,BPM,230
2026-03-25 10:35:57,BPM,230
2026-03-25 10:35:57,BPM,230
2026-03-25 10:35:57,BPM,230
2026-03-25 10:35:58,BPM,230
2026-03-25 10:35:58,BPM,230
2026-03-25 10:35:58,BPM,230
2026-03-25 10:35:58,BPM,230
2026-03-25 10:35:59,BPM,230
2026-03-25 10:35:59,BPM,230
2026-03-25 10:35:59,BPM,230
2026-03-25 10:35:59,BPM,230
2026-03-25 10:36:00,BPM,230
2026-03-25 10:36:00,BPM,230
2026-03-25 10:36:00,BPM,230
2026-03-25 10:36:00,BPM,230
2026-03-25 10:36:01,BPM,230
2026-03-25 10:36:01,BPM,230
2026-03-25 10:36:01,BPM,230
2026-03-25 10:36:01,BPM,230
2026-03-25 10:36:02,BPM,230
2026-03-25 10:36:02,BPM,230
2026-03-25 10:36:02,BPM,230
2026-03-25 10:36:03,BPM,230
2026-03-25 10:36:03,BPM,230
2026-03-25 10:36:03,BPM,230
2026-03-25 10:36:03,BPM,230
2026-03-25 10:36:04,BPM,230
2026-03-25 10:36:04,BPM,230
2026-03-25 10:36:04,BPM,230
2026-03-25 10:36:04,BPM,231
2026-03-25 10:36:05,BPM,218
2026-03-25 10:36:05,BPM,219
2026-03-25 10:36:05,BPM,219
2026-03-25 10:36:06,BPM,220
2026-03-25 10:36:06,BPM,220
2026-03-25 10:36:06,BPM,220
2026-03-25 10:36:06,BPM,220
2026-03-25 10:36:07,BPM,220
2026-03-25 10:36:07,BPM,220
2026-03-25 10:36:07,BPM,219
2026-03-25 10:36:07,BPM,232
2026-03-25 10:36:08,BPM,232
2026-03-25 10:36:08,BPM,231
2026-03-25 10:36:08,BPM,230
2026-03-25 10:36:08,BPM,230
2026-03-25 10:36:09,BPM,230
2026-03-25 10:36:09,BPM,230
2026-03-25 10:36:09,BPM,230
2026-03-25 10:36:09,BPM,230
2026-03-25 10:36:10,BPM,230
2026-03-25 10:36:10,BPM,230
2026-03-25 10:36:10,BPM,230
